benchmark,evidence_level,removed_event_class,replay_result,property_match,final_signature_match,required_for_replay,notes
uart_command_bug,rtl-smoke,diagnostic PC context,FAIL,PASS,PASS,yes,missing pc event at commit 1: pc=0x88 order=0x0; missing pc event at commit 3: pc=0xa4 order=0x1; missing pc event at commit 5: pc=0xac order=0x2; missing pc event at commit 5: pc=0xac order=0x3
uart_command_bug,full-rtl,diagnostic PC context,TODO,NA,NA,unknown,full RTL event-removal ablation is not implemented; see full_rtl_replay.csv for record/replay status
watchdog_timeout_bug,model,commit,TODO,NA,NA,unknown,no generated ablation row for this event class
watchdog_timeout_bug,firmware-sim,commit,TODO,NA,NA,unknown,firmware-sim event-removal ablation is not implemented yet
watchdog_timeout_bug,rtl-smoke,commit,TODO,NA,NA,unknown,no generated ablation row for this event class
watchdog_timeout_bug,full-rtl,commit,TODO,NA,NA,unknown,full RTL event-removal ablation is not implemented; see full_rtl_replay.csv for record/replay status
watchdog_timeout_bug,model,branch/jump,PASS,PASS,PASS,no,no replay mismatch observed for this model benchmark
watchdog_timeout_bug,firmware-sim,branch/jump,TODO,NA,NA,unknown,firmware-sim event-removal ablation is not implemented yet
watchdog_timeout_bug,rtl-smoke,branch/jump,FAIL,PASS,PASS,yes,missing branch event at commit 4: pc=0x8c value=0x0 order=0x1; missing branch event at commit 6: pc=0x8c value=0x0 order=0x2; missing branch event at commit 8: pc=0x8c value=0x0 order=0x3; missing branch event at commit 10: pc=0x8c value=0x0 order=0x4; missing branch event at commit 12: pc=0x8c value=0x0 order=0x5; missing branch event at commit 14: pc=0x8c value=0x0 order=0x6; missing branch event at commit 16: pc=0x8c value=0x0 order=0x7; missing branch event at commit 18: pc=0x8c value=0x0 order=0x8; missing branch event at commit 20: pc=0x8c value=0x0 order=0x9; missing branch event at commit 22: pc=0x8c value=0x0 order=0xa
watchdog_timeout_bug,full-rtl,branch/jump,TODO,NA,NA,unknown,full RTL event-removal ablation is not implemented; see full_rtl_replay.csv for record/replay status
watchdog_timeout_bug,model,load/store,PASS,PASS,PASS,no,no replay mismatch observed for this model benchmark
watchdog_timeout_bug,firmware-sim,load/store,TODO,NA,NA,unknown,firmware-sim event-removal ablation is not implemented yet
watchdog_timeout_bug,rtl-smoke,load/store,PASS,PASS,PASS,no,event class absent from this RTL-smoke capsule
watchdog_timeout_bug,full-rtl,load/store,TODO,NA,NA,unknown,full RTL event-removal ablation is not implemented; see full_rtl_replay.csv for record/replay status
watchdog_timeout_bug,model,MMIO read,FAIL,PASS,PASS,yes,missing mmio event at commit 1: addr=0x40000000 value=0x352 direction='read'; extra observed mmio event at commit 1: addr=0x40000000 value=0x0 direction='read'
watchdog_timeout_bug,firmware-sim,MMIO read,TODO,NA,NA,unknown,firmware-sim event-removal ablation is not implemented yet
watchdog_timeout_bug,rtl-smoke,MMIO read,FAIL,PASS,PASS,yes,missing mmio event at commit 1: addr=0x40000000 value=0x352 direction='read' order=0x0
watchdog_timeout_bug,full-rtl,MMIO read,TODO,NA,NA,unknown,full RTL event-removal ablation is not implemented; see full_rtl_replay.csv for record/replay status
watchdog_timeout_bug,model,MMIO write,TODO,NA,NA,unknown,no generated ablation row for this event class
watchdog_timeout_bug,firmware-sim,MMIO write,TODO,NA,NA,unknown,firmware-sim event-removal ablation is not implemented yet
watchdog_timeout_bug,rtl-smoke,MMIO write,PASS,PASS,PASS,no,event class absent from this RTL-smoke capsule
watchdog_timeout_bug,full-rtl,MMIO write,TODO,NA,NA,unknown,full RTL event-removal ablation is not implemented; see full_rtl_replay.csv for record/replay status
watchdog_timeout_bug,model,interrupt enter,FAIL,PASS,PASS,yes,missing interrupt event at commit 6: irq='timer0' state='taken'; missing interrupt event at commit 6: irq='timer0' state='return'
watchdog_timeout_bug,firmware-sim,interrupt enter,TODO,NA,NA,unknown,firmware-sim event-removal ablation is not implemented yet
watchdog_timeout_bug,rtl-smoke,interrupt enter,PASS,PASS,PASS,no,event class absent from this RTL-smoke capsule
watchdog_timeout_bug,full-rtl,interrupt enter,TODO,NA,NA,unknown,full RTL event-removal ablation is not implemented; see full_rtl_replay.csv for record/replay status
watchdog_timeout_bug,model,interrupt exit,TODO,NA,NA,unknown,no generated ablation row for this event class
watchdog_timeout_bug,firmware-sim,interrupt exit,TODO,NA,NA,unknown,firmware-sim event-removal ablation is not implemented yet
watchdog_timeout_bug,rtl-smoke,interrupt exit,TODO,NA,NA,unknown,no generated ablation row for this event class
watchdog_timeout_bug,full-rtl,interrupt exit,TODO,NA,NA,unknown,full RTL event-removal ablation is not implemented; see full_rtl_replay.csv for record/replay status
watchdog_timeout_bug,model,external input,PASS,PASS,PASS,no,no replay mismatch observed for this model benchmark
watchdog_timeout_bug,firmware-sim,external input,TODO,NA,NA,unknown,firmware-sim event-removal ablation is not implemented yet
watchdog_timeout_bug,rtl-smoke,external input,PASS,PASS,PASS,no,event class absent from this RTL-smoke capsule
watchdog_timeout_bug,full-rtl,external input,TODO,NA,NA,unknown,full RTL event-removal ablation is not implemented; see full_rtl_replay.csv for record/replay status
watchdog_timeout_bug,model,property fail,TODO,NA,NA,unknown,no generated ablation row for this event class
watchdog_timeout_bug,firmware-sim,property fail,TODO,NA,NA,unknown,firmware-sim event-removal ablation is not implemented yet
watchdog_timeout_bug,rtl-smoke,property fail,TODO,NA,NA,unknown,no generated ablation row for this event class
watchdog_timeout_bug,full-rtl,property fail,TODO,NA,NA,unknown,full RTL event-removal ablation is not implemented; see full_rtl_replay.csv for record/replay status
watchdog_timeout_bug,model,checkpoint/hash,PASS,PASS,PASS,no,no replay mismatch observed for this model benchmark
watchdog_timeout_bug,firmware-sim,checkpoint/hash,TODO,NA,NA,unknown,firmware-sim event-removal ablation is not implemented yet
watchdog_timeout_bug,rtl-smoke,checkpoint/hash,PASS,PASS,PASS,no,event class absent from this RTL-smoke capsule
watchdog_timeout_bug,full-rtl,checkpoint/hash,TODO,NA,NA,unknown,full RTL event-removal ablation is not implemented; see full_rtl_replay.csv for record/replay status
watchdog_timeout_bug,model,diagnostic PC context,TODO,NA,NA,unknown,no generated ablation row for this event class
watchdog_timeout_bug,firmware-sim,diagnostic PC context,TODO,NA,NA,unknown,firmware-sim event-removal ablation is not implemented yet
watchdog_timeout_bug,rtl-smoke,diagnostic PC context,FAIL,PASS,PASS,yes,missing pc event at commit 1: pc=0x88 order=0x0; missing pc event at commit 4: pc=0x8c order=0x1; missing pc event at commit 6: pc=0x8c order=0x2; missing pc event at commit 8: pc=0x8c order=0x3; missing pc event at commit 10: pc=0x8c order=0x4; missing pc event at commit 12: pc=0x8c order=0x5; missing pc event at commit 14: pc=0x8c order=0x6; missing pc event at commit 16: pc=0x8c order=0x7; missing pc event at commit 18: pc=0x8c order=0x8; missing pc event at commit 20: pc=0x8c order=0x9; missing pc event at commit 22: pc=0x8c order=0xa; missing pc event at commit 23: pc=0x90 order=0xb
watchdog_timeout_bug,full-rtl,diagnostic PC context,TODO,NA,NA,unknown,full RTL event-removal ablation is not implemented; see full_rtl_replay.csv for record/replay status
