recorder_config,benchmark,variant,seed,workload_scale,replay_status,negative_replay_status,event_match,final_signature_match,capsule_bytes,events,notes
diagnostic,sensor_threshold_bug,no_failure_edge,4,stress,FAIL,REJECT,FAIL,FAIL,344064,16384,capture-all diagnostic mode
full,sensor_threshold_bug,no_failure_edge,4,stress,FAIL,REJECT,FAIL,FAIL,344064,16384,capture-all diagnostic mode with strongest status evidence
minimal,sensor_threshold_bug,no_failure_edge,5,stress,PASS,REJECT,PASS,PASS,21,1,replay-critical MMIO/interrupt/external-input boundary-event capture
core,sensor_threshold_bug,no_failure_edge,5,stress,PASS,REJECT,PASS,PASS,344064,16384,ReplayCapsule-RV property-relevant capture mode
hashed,sensor_threshold_bug,no_failure_edge,5,stress,PASS,REJECT,PASS,PASS,344064,16384,core capture mode; hash evidence is carried by signatures
diagnostic,sensor_threshold_bug,no_failure_edge,5,stress,FAIL,REJECT,FAIL,FAIL,344064,16384,capture-all diagnostic mode
full,sensor_threshold_bug,no_failure_edge,5,stress,FAIL,REJECT,FAIL,FAIL,344064,16384,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,failing,1,smoke,PASS,REJECT,PASS,PASS,42,2,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,failing,1,smoke,PASS,REJECT,PASS,PASS,105,5,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,failing,1,smoke,PASS,REJECT,PASS,PASS,105,5,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,failing,1,smoke,PASS,REJECT,PASS,PASS,399,19,capture-all diagnostic mode
full,interrupt_race_bug,failing,1,smoke,PASS,REJECT,PASS,PASS,399,19,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,failing,2,smoke,PASS,REJECT,PASS,PASS,42,2,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,failing,2,smoke,PASS,REJECT,PASS,PASS,105,5,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,failing,2,smoke,PASS,REJECT,PASS,PASS,105,5,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,failing,2,smoke,PASS,REJECT,PASS,PASS,399,19,capture-all diagnostic mode
full,interrupt_race_bug,failing,2,smoke,PASS,REJECT,PASS,PASS,399,19,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,failing,3,smoke,PASS,REJECT,PASS,PASS,42,2,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,failing,3,smoke,PASS,REJECT,PASS,PASS,105,5,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,failing,3,smoke,PASS,REJECT,PASS,PASS,105,5,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,failing,3,smoke,PASS,REJECT,PASS,PASS,399,19,capture-all diagnostic mode
full,interrupt_race_bug,failing,3,smoke,PASS,REJECT,PASS,PASS,399,19,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,failing,4,smoke,PASS,REJECT,PASS,PASS,42,2,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,failing,4,smoke,PASS,REJECT,PASS,PASS,105,5,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,failing,4,smoke,PASS,REJECT,PASS,PASS,105,5,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,failing,4,smoke,PASS,REJECT,PASS,PASS,399,19,capture-all diagnostic mode
full,interrupt_race_bug,failing,4,smoke,PASS,REJECT,PASS,PASS,399,19,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,failing,5,smoke,PASS,REJECT,PASS,PASS,42,2,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,failing,5,smoke,PASS,REJECT,PASS,PASS,105,5,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,failing,5,smoke,PASS,REJECT,PASS,PASS,105,5,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,failing,5,smoke,PASS,REJECT,PASS,PASS,399,19,capture-all diagnostic mode
full,interrupt_race_bug,failing,5,smoke,PASS,REJECT,PASS,PASS,399,19,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,failing,1,short,PASS,REJECT,PASS,PASS,42,2,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,failing,1,short,PASS,REJECT,PASS,PASS,2772,132,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,failing,1,short,PASS,REJECT,PASS,PASS,2772,132,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,failing,1,short,PASS,REJECT,PASS,PASS,11214,534,capture-all diagnostic mode
full,interrupt_race_bug,failing,1,short,PASS,REJECT,PASS,PASS,11214,534,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,failing,2,short,PASS,REJECT,PASS,PASS,42,2,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,failing,2,short,PASS,REJECT,PASS,PASS,2772,132,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,failing,2,short,PASS,REJECT,PASS,PASS,2772,132,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,failing,2,short,PASS,REJECT,PASS,PASS,11214,534,capture-all diagnostic mode
full,interrupt_race_bug,failing,2,short,PASS,REJECT,PASS,PASS,11214,534,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,failing,3,short,PASS,REJECT,PASS,PASS,42,2,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,failing,3,short,PASS,REJECT,PASS,PASS,2772,132,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,failing,3,short,PASS,REJECT,PASS,PASS,2772,132,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,failing,3,short,PASS,REJECT,PASS,PASS,11214,534,capture-all diagnostic mode
full,interrupt_race_bug,failing,3,short,PASS,REJECT,PASS,PASS,11214,534,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,failing,4,short,PASS,REJECT,PASS,PASS,42,2,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,failing,4,short,PASS,REJECT,PASS,PASS,2772,132,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,failing,4,short,PASS,REJECT,PASS,PASS,2772,132,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,failing,4,short,PASS,REJECT,PASS,PASS,11214,534,capture-all diagnostic mode
full,interrupt_race_bug,failing,4,short,PASS,REJECT,PASS,PASS,11214,534,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,failing,5,short,PASS,REJECT,PASS,PASS,42,2,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,failing,5,short,PASS,REJECT,PASS,PASS,2772,132,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,failing,5,short,PASS,REJECT,PASS,PASS,2772,132,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,failing,5,short,PASS,REJECT,PASS,PASS,11214,534,capture-all diagnostic mode
full,interrupt_race_bug,failing,5,short,PASS,REJECT,PASS,PASS,11214,534,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,failing,1,medium,PASS,REJECT,PASS,PASS,42,2,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,failing,1,medium,PASS,REJECT,PASS,PASS,10836,516,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,failing,1,medium,PASS,REJECT,PASS,PASS,10836,516,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,failing,1,medium,PASS,REJECT,PASS,PASS,43470,2070,capture-all diagnostic mode
full,interrupt_race_bug,failing,1,medium,PASS,REJECT,PASS,PASS,43470,2070,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,failing,2,medium,PASS,REJECT,PASS,PASS,42,2,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,failing,2,medium,PASS,REJECT,PASS,PASS,10836,516,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,failing,2,medium,PASS,REJECT,PASS,PASS,10836,516,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,failing,2,medium,PASS,REJECT,PASS,PASS,43470,2070,capture-all diagnostic mode
full,interrupt_race_bug,failing,2,medium,PASS,REJECT,PASS,PASS,43470,2070,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,failing,3,medium,PASS,REJECT,PASS,PASS,42,2,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,failing,3,medium,PASS,REJECT,PASS,PASS,10836,516,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,failing,3,medium,PASS,REJECT,PASS,PASS,10836,516,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,failing,3,medium,PASS,REJECT,PASS,PASS,43470,2070,capture-all diagnostic mode
full,interrupt_race_bug,failing,3,medium,PASS,REJECT,PASS,PASS,43470,2070,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,failing,4,medium,PASS,REJECT,PASS,PASS,42,2,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,failing,4,medium,PASS,REJECT,PASS,PASS,10836,516,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,failing,4,medium,PASS,REJECT,PASS,PASS,10836,516,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,failing,4,medium,PASS,REJECT,PASS,PASS,43470,2070,capture-all diagnostic mode
full,interrupt_race_bug,failing,4,medium,PASS,REJECT,PASS,PASS,43470,2070,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,failing,5,medium,PASS,REJECT,PASS,PASS,42,2,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,failing,5,medium,PASS,REJECT,PASS,PASS,10836,516,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,failing,5,medium,PASS,REJECT,PASS,PASS,10836,516,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,failing,5,medium,PASS,REJECT,PASS,PASS,43470,2070,capture-all diagnostic mode
full,interrupt_race_bug,failing,5,medium,PASS,REJECT,PASS,PASS,43470,2070,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,failing,1,long,PASS,REJECT,PASS,PASS,42,2,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,failing,1,long,PASS,REJECT,PASS,PASS,43092,2052,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,failing,1,long,PASS,REJECT,PASS,PASS,43092,2052,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,failing,1,long,PASS,REJECT,PASS,PASS,172494,8214,capture-all diagnostic mode
full,interrupt_race_bug,failing,1,long,PASS,REJECT,PASS,PASS,172494,8214,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,failing,2,long,PASS,REJECT,PASS,PASS,42,2,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,failing,2,long,PASS,REJECT,PASS,PASS,43092,2052,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,failing,2,long,PASS,REJECT,PASS,PASS,43092,2052,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,failing,2,long,PASS,REJECT,PASS,PASS,172494,8214,capture-all diagnostic mode
full,interrupt_race_bug,failing,2,long,PASS,REJECT,PASS,PASS,172494,8214,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,failing,3,long,PASS,REJECT,PASS,PASS,42,2,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,failing,3,long,PASS,REJECT,PASS,PASS,43092,2052,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,failing,3,long,PASS,REJECT,PASS,PASS,43092,2052,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,failing,3,long,PASS,REJECT,PASS,PASS,172494,8214,capture-all diagnostic mode
full,interrupt_race_bug,failing,3,long,PASS,REJECT,PASS,PASS,172494,8214,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,failing,4,long,PASS,REJECT,PASS,PASS,42,2,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,failing,4,long,PASS,REJECT,PASS,PASS,43092,2052,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,failing,4,long,PASS,REJECT,PASS,PASS,43092,2052,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,failing,4,long,PASS,REJECT,PASS,PASS,172494,8214,capture-all diagnostic mode
full,interrupt_race_bug,failing,4,long,PASS,REJECT,PASS,PASS,172494,8214,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,failing,5,long,PASS,REJECT,PASS,PASS,42,2,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,failing,5,long,PASS,REJECT,PASS,PASS,43092,2052,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,failing,5,long,PASS,REJECT,PASS,PASS,43092,2052,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,failing,5,long,PASS,REJECT,PASS,PASS,172494,8214,capture-all diagnostic mode
full,interrupt_race_bug,failing,5,long,PASS,REJECT,PASS,PASS,172494,8214,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,failing,1,stress,PASS,REJECT,PASS,PASS,42,2,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,failing,1,stress,PASS,REJECT,PASS,PASS,172116,8196,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,failing,1,stress,PASS,REJECT,PASS,PASS,172116,8196,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,failing,1,stress,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode
full,interrupt_race_bug,failing,1,stress,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,failing,2,stress,PASS,REJECT,PASS,PASS,42,2,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,failing,2,stress,PASS,REJECT,PASS,PASS,172116,8196,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,failing,2,stress,PASS,REJECT,PASS,PASS,172116,8196,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,failing,2,stress,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode
full,interrupt_race_bug,failing,2,stress,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,failing,3,stress,PASS,REJECT,PASS,PASS,42,2,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,failing,3,stress,PASS,REJECT,PASS,PASS,172116,8196,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,failing,3,stress,PASS,REJECT,PASS,PASS,172116,8196,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,failing,3,stress,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode
full,interrupt_race_bug,failing,3,stress,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,failing,4,stress,PASS,REJECT,PASS,PASS,42,2,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,failing,4,stress,PASS,REJECT,PASS,PASS,172116,8196,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,failing,4,stress,PASS,REJECT,PASS,PASS,172116,8196,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,failing,4,stress,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode
full,interrupt_race_bug,failing,4,stress,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,failing,5,stress,PASS,REJECT,PASS,PASS,42,2,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,failing,5,stress,PASS,REJECT,PASS,PASS,172116,8196,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,failing,5,stress,PASS,REJECT,PASS,PASS,172116,8196,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,failing,5,stress,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode
full,interrupt_race_bug,failing,5,stress,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,fixed,1,smoke,PASS,REJECT,PASS,PASS,84,4,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,fixed,1,smoke,PASS,REJECT,PASS,PASS,34524,1644,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,fixed,1,smoke,PASS,REJECT,PASS,PASS,34524,1644,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,fixed,1,smoke,PASS,REJECT,PASS,PASS,34986,1666,capture-all diagnostic mode
full,interrupt_race_bug,fixed,1,smoke,PASS,REJECT,PASS,PASS,34986,1666,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,fixed,2,smoke,PASS,REJECT,PASS,PASS,84,4,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,fixed,2,smoke,PASS,REJECT,PASS,PASS,34524,1644,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,fixed,2,smoke,PASS,REJECT,PASS,PASS,34524,1644,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,fixed,2,smoke,PASS,REJECT,PASS,PASS,34986,1666,capture-all diagnostic mode
full,interrupt_race_bug,fixed,2,smoke,PASS,REJECT,PASS,PASS,34986,1666,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,fixed,3,smoke,PASS,REJECT,PASS,PASS,84,4,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,fixed,3,smoke,PASS,REJECT,PASS,PASS,34524,1644,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,fixed,3,smoke,PASS,REJECT,PASS,PASS,34524,1644,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,fixed,3,smoke,PASS,REJECT,PASS,PASS,34986,1666,capture-all diagnostic mode
full,interrupt_race_bug,fixed,3,smoke,PASS,REJECT,PASS,PASS,34986,1666,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,fixed,4,smoke,PASS,REJECT,PASS,PASS,84,4,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,fixed,4,smoke,PASS,REJECT,PASS,PASS,34524,1644,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,fixed,4,smoke,PASS,REJECT,PASS,PASS,34524,1644,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,fixed,4,smoke,PASS,REJECT,PASS,PASS,34986,1666,capture-all diagnostic mode
full,interrupt_race_bug,fixed,4,smoke,PASS,REJECT,PASS,PASS,34986,1666,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,fixed,5,smoke,PASS,REJECT,PASS,PASS,84,4,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,fixed,5,smoke,PASS,REJECT,PASS,PASS,34524,1644,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,fixed,5,smoke,PASS,REJECT,PASS,PASS,34524,1644,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,fixed,5,smoke,PASS,REJECT,PASS,PASS,34986,1666,capture-all diagnostic mode
full,interrupt_race_bug,fixed,5,smoke,PASS,REJECT,PASS,PASS,34986,1666,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,fixed,1,short,PASS,REJECT,PASS,PASS,84,4,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,fixed,1,short,PASS,REJECT,PASS,PASS,61824,2944,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,fixed,1,short,PASS,REJECT,PASS,PASS,61824,2944,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,fixed,1,short,PASS,REJECT,PASS,PASS,70434,3354,capture-all diagnostic mode
full,interrupt_race_bug,fixed,1,short,PASS,REJECT,PASS,PASS,70434,3354,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,fixed,2,short,PASS,REJECT,PASS,PASS,84,4,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,fixed,2,short,PASS,REJECT,PASS,PASS,61824,2944,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,fixed,2,short,PASS,REJECT,PASS,PASS,61824,2944,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,fixed,2,short,PASS,REJECT,PASS,PASS,70434,3354,capture-all diagnostic mode
full,interrupt_race_bug,fixed,2,short,PASS,REJECT,PASS,PASS,70434,3354,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,fixed,3,short,PASS,REJECT,PASS,PASS,84,4,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,fixed,3,short,PASS,REJECT,PASS,PASS,61824,2944,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,fixed,3,short,PASS,REJECT,PASS,PASS,61824,2944,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,fixed,3,short,PASS,REJECT,PASS,PASS,70434,3354,capture-all diagnostic mode
full,interrupt_race_bug,fixed,3,short,PASS,REJECT,PASS,PASS,70434,3354,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,fixed,4,short,PASS,REJECT,PASS,PASS,84,4,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,fixed,4,short,PASS,REJECT,PASS,PASS,61824,2944,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,fixed,4,short,PASS,REJECT,PASS,PASS,61824,2944,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,fixed,4,short,PASS,REJECT,PASS,PASS,70434,3354,capture-all diagnostic mode
full,interrupt_race_bug,fixed,4,short,PASS,REJECT,PASS,PASS,70434,3354,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,fixed,5,short,PASS,REJECT,PASS,PASS,84,4,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,fixed,5,short,PASS,REJECT,PASS,PASS,61824,2944,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,fixed,5,short,PASS,REJECT,PASS,PASS,61824,2944,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,fixed,5,short,PASS,REJECT,PASS,PASS,70434,3354,capture-all diagnostic mode
full,interrupt_race_bug,fixed,5,short,PASS,REJECT,PASS,PASS,70434,3354,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,fixed,1,medium,PASS,REJECT,PASS,PASS,84,4,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,fixed,1,medium,PASS,REJECT,PASS,PASS,318990,15190,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,fixed,1,medium,PASS,REJECT,PASS,PASS,318990,15190,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,fixed,1,medium,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode
full,interrupt_race_bug,fixed,1,medium,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,fixed,2,medium,PASS,REJECT,PASS,PASS,84,4,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,fixed,2,medium,PASS,REJECT,PASS,PASS,318990,15190,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,fixed,2,medium,PASS,REJECT,PASS,PASS,318990,15190,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,fixed,2,medium,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode
full,interrupt_race_bug,fixed,2,medium,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,fixed,3,medium,PASS,REJECT,PASS,PASS,84,4,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,fixed,3,medium,PASS,REJECT,PASS,PASS,318990,15190,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,fixed,3,medium,PASS,REJECT,PASS,PASS,318990,15190,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,fixed,3,medium,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode
full,interrupt_race_bug,fixed,3,medium,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,fixed,4,medium,PASS,REJECT,PASS,PASS,84,4,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,fixed,4,medium,PASS,REJECT,PASS,PASS,318990,15190,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,fixed,4,medium,PASS,REJECT,PASS,PASS,318990,15190,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,fixed,4,medium,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode
full,interrupt_race_bug,fixed,4,medium,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,fixed,5,medium,PASS,REJECT,PASS,PASS,84,4,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,fixed,5,medium,PASS,REJECT,PASS,PASS,318990,15190,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,fixed,5,medium,PASS,REJECT,PASS,PASS,318990,15190,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,fixed,5,medium,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode
full,interrupt_race_bug,fixed,5,medium,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,fixed,1,long,PASS,REJECT,PASS,PASS,84,4,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,fixed,1,long,PASS,REJECT,PASS,PASS,344064,16384,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,fixed,1,long,PASS,REJECT,PASS,PASS,344064,16384,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,fixed,1,long,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode
full,interrupt_race_bug,fixed,1,long,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode with strongest status evidence
minimal,interrupt_race_bug,fixed,2,long,PASS,REJECT,PASS,PASS,84,4,replay-critical MMIO/interrupt/external-input boundary-event capture
core,interrupt_race_bug,fixed,2,long,PASS,REJECT,PASS,PASS,344064,16384,ReplayCapsule-RV property-relevant capture mode
hashed,interrupt_race_bug,fixed,2,long,PASS,REJECT,PASS,PASS,344064,16384,core capture mode; hash evidence is carried by signatures
diagnostic,interrupt_race_bug,fixed,2,long,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode
full,interrupt_race_bug,fixed,2,long,PASS,REJECT,PASS,PASS,344064,16384,capture-all diagnostic mode with strongest status evidence
